city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 Riyadh,   Al-Malqa ,North,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000
 Riyadh,   Al-Yasameen ,North,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000
 Riyadh,   Al-Narcissus ,West,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Muayzlah ,West,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000
 Riyadh,   Al-Nuzha ,North,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000
 Riyadh,   Al-Muayzlah ,West,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000
 Riyadh,   Al-Sulaymaniyah ,West,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000
 Riyadh,   Al-Ramal ,North,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000
 Riyadh,   Al-Munsiyah ,South,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000
 Riyadh,   Al-Ramal ,South,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000
 Riyadh,   Al-Ramal ,West,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 Riyadh,   Al-Areed ,North,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
 Riyadh,   Al-Qadisiyah ,West,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000
 Riyadh,   Al-Qadisiyah ,West,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000
 Riyadh,   Al-Rabea ,Southwest,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
 Riyadh,   Al-Narcissus ,North,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000
 Riyadh,   Al-Areed ,East,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Munsiyah ,South,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000
 Riyadh,   Al-Yasameen ,North,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
 Riyadh,   Dhahret Laban ,Northwest,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Rawda ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 Riyadh,   Al-Narcissus ,Northeast,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
 Riyadh,   Al-Aqeeq ,North,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000
 Riyadh,   Al-Ulya ,North,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000
 Riyadh,   Okaz ,East,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 Riyadh,   Al-Wurud ,West,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000
 Riyadh,   Al-Narcissus ,Northeast,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000
 Riyadh,   Al-Munsiyah ,East,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000
 Riyadh,   Al-Rawda ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 Riyadh,   Al-Malqa ,South,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000
 Riyadh,   Al-Areed ,East,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000
 Riyadh,   Al-Fayhaa ,Northwest,650,5,7,5,3,1,1,0,1,0,1,1,1,1,1,0,1,0,1,120000
 Riyadh,   Al-Namudhajia ,Northeast,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000
 Riyadh,   Al-Munsiyah ,South,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000
 Riyadh,   Al-Rabwa ,West,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000
 Riyadh,   Al-Kairouan,East,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Alisha ,North,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000
 Riyadh,   Al-Ramal ,West,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000
 Riyadh,   Al-Sulaymaniyah ,West,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 Riyadh,   King Faisal ,West,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000
 Riyadh,   Al-Malqa ,East,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000
 Riyadh,   Al-Ramal ,East,298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000
 Riyadh,   Al-Ramal ,South,300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000
 Riyadh,   Al-Narcissus ,East,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Aqeeq ,South,300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000
 Riyadh,   Al-Wurud ,Northeast,580,20,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000
 Riyadh,   Al-Narcissus ,East,230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
 Riyadh,   Hittin ,North,460,0,5,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,400000
 Riyadh,   Al-Malqa ,East,228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000
 Riyadh,   Al-Areed ,North,200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000
 Riyadh,   Al-Yasameen ,Northeast,350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000
 Riyadh,   Al-Sulaymaniyah ,Southwest,300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Manakh ,North,600,5,7,5,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,140000
 Riyadh,   Al-Hazm ,East,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000
 Riyadh,   Al-Ramal ,North,300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000
 Riyadh,   Al-Areed ,South,300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
 Riyadh,   Al-Badiaa ,North,1600,35,5,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,70000
 Riyadh,   Al-Narcissus ,East,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Areed ,East,375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000
 Riyadh,   Al-Shuhada ,East,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000
 Riyadh,   Al-Rawda ,West,3000,19,3,5,5,1,1,1,1,1,1,0,1,1,1,0,0,0,0,250000
 Riyadh,   Kordoba ,East,312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000
 Riyadh,   Al-Sahafa ,West,350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000
 Riyadh,   Western Al-Arija ,3-streets,1600,4,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,250000
 Riyadh,   Al-Areed ,South,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
 Riyadh,   Al-Munsiyah ,East,253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
 Riyadh,   Al-Nafl ,West,500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000
 Riyadh,   Al-Qudus ,South,1000,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,160000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Rawda ,West,300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000
 Riyadh,   Al-Rawda ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 Riyadh,   Al-Munsiyah ,East,225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000
 Riyadh,   Al-Sulaymaniyah ,North,200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000
 Riyadh,   Al-Sulaymaniyah ,South,220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Areed ,South,300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000
 Riyadh,   Al-Ramal ,Northeast,280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000
 Riyadh,   King Fahd ,East,270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000
 Riyadh,   Al-Azizia ,South,312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000
 Riyadh,   Hittin ,North,400,0,4,5,3,1,1,1,1,1,1,0,1,1,0,0,1,0,0,400000
 Riyadh,   Al-Waha ,East,375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000
 Riyadh,   Al-Narcissus ,North,300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000
 Riyadh,   Dhahret Laban ,East,450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000
 Riyadh,   Eastern Al-Naseem ,North,200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000
 Riyadh,   Al-Qadisiyah ,North,384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000
 Riyadh,   Al-Qadisiyah ,West,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000
 Riyadh,   Al-Rawda ,North,686,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,150000
 Riyadh,   Al-Masif ,North,425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000
 Riyadh,   Tuwaiq ,Southwest,300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Areed ,South,360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000
 Riyadh,   Al-Munsiyah ,South,312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000
 Riyadh,   Kordoba ,North,390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000
 Riyadh,   Al-Ramal ,South,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300
 Riyadh,   Al-Malqa ,South,200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 Riyadh,   Al-Narcissus ,East,230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000
 Riyadh,   Al-Fayhaa ,4-streets,360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000
 Riyadh,   Al-Munsiyah ,North,312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000
 Riyadh,   Al-Ramal ,East,460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000
 Riyadh,   Al-Rahmaniyah ,West,300,2,3,5,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,220000
 Riyadh,   Al-Mahdia ,South,250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000
 Riyadh,   Al-Ramal ,Northeast,350,0,5,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,55000
 Riyadh,   Al-Ramal ,North,450,0,5,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,60000
 Riyadh,   Al-Zahra ,Southeast,500,14,4,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,45000
 Riyadh,   Al-Narcissus ,East,260,0,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100000
 Riyadh,   Al-Shuhada ,South,205,0,5,5,2,0,1,0,1,0,1,0,0,1,0,1,1,1,0,140000
 Riyadh,   Al-Areed ,East,250,2,4,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,85000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Ramal ,East,460,4,1,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,75000
 Riyadh,   Al-Malqa ,South,200,3,7,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 Riyadh,   Hittin ,North,155,0,3,5,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,180000
 Riyadh,   Al-Ramal ,West,400,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,60000
 Riyadh,   Al-Yarmouk ,North,300,10,4,3,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,65000
 Riyadh,   Al-Malqa ,South,375,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,120000
 Riyadh,   Al-Areed ,East,300,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 Riyadh,   Al-Ramal ,North,300,0,4,5,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,38000
 Riyadh,   Alisha ,Southeast,340,0,3,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
 Riyadh,   Al-Areed ,East,250,2,7,4,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,110000
 Riyadh,   Al-Aqeeq ,South,300,15,5,4,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,120000
 Riyadh,   Al-Rahmaniyah ,Northeast,450,13,7,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,120000
 Riyadh,   Al-Masif ,West,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000
 Riyadh,   Al-Munsiyah ,West,290,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60000
 Riyadh,   Al-Masif ,South,400,15,3,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,80000
 Riyadh,   Al-Narcissus ,East,270,0,4,5,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100000
 Riyadh,   Dhahret Laban ,North,200,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
 Riyadh,   Al-Malqa ,West,200,0,4,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,150000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Ramal ,Northeast,300,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,48000
 Riyadh,   Al-Malqa ,South,250,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 Riyadh,   Al-Areed ,South,300,2,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
 Riyadh,   King Abdullah ,South,2500,10,6,5,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,800000
 Riyadh,   Al-Yarmouk ,West,375,7,4,5,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,65000
 Riyadh,   Al-Areed ,North,250,0,5,4,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,80000
 Riyadh,   Al-Aqeeq ,South,300,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,140000
 Riyadh,   Dhahret Laban ,East,450,2,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,60000
 Riyadh,   Al-Narcissus ,North,300,0,4,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,70000
 Riyadh,   Tuwaiq ,Southwest,320,3,6,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,35000
 Riyadh,   Al-Rawda ,East,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000
 Riyadh,   Al-Malqa ,South,375,2,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,130000
 Riyadh,   Al-Areed ,South,300,0,4,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Mohammadiyah ,East,460,20,5,5,3,1,1,0,1,0,1,1,0,1,1,0,1,0,0,100000
 Riyadh,   Umm Salim ,Southeast,340,0,4,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,45000
 Riyadh,   Al-Andalus ,North,330,15,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,75000
 Riyadh,   Al-Morouj ,North,250,3,4,3,2,1,1,1,1,1,1,0,1,1,0,1,0,0,0,190000
 Riyadh,   Al-Mutamarat ,West,240,15,3,4,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,200000
 Riyadh,   Al-Sulaymaniyah ,North,400,0,6,5,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 Riyadh,   Al-Kairouan,East,300,0,2,5,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,80000
 Riyadh,   Al-Ramal ,North,206,0,4,4,2,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
 Riyadh,   Al-Waha ,East,550,18,4,4,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Fayhaa ,East,600,14,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
 Riyadh,   Al-Mahdia ,South,300,0,6,5,2,0,1,0,1,0,0,1,0,1,0,0,1,0,1,42000
 Riyadh,   Al-Sahafa ,East,375,7,3,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,140000
 Riyadh,   Dhahret Laban ,East,450,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000
 Riyadh,   Al-Ramal ,South,290,0,5,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 Riyadh,   Al-Areed ,West,394,0,4,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,140000
 Riyadh,   Al-Aqeeq ,North,1200,15,7,5,4,1,1,1,1,0,1,1,1,1,0,0,1,0,0,400000
 Riyadh,   Al-Masif ,North,600,20,5,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,125000
 Riyadh,   Al-Areed ,North,312,0,4,5,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,100000
 Riyadh,   Al-Malqa ,East,416,0,4,4,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,160000
 Riyadh,   Al-Sulaymaniyah ,North,270,5,3,4,2,1,1,1,1,0,1,0,1,1,0,1,1,0,0,125000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Narcissus ,North,230,0,4,3,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Areed ,East,300,0,5,4,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,85000
 Riyadh,   Al-Zahra ,North,280,10,7,4,2,1,1,0,1,0,0,0,0,1,0,1,1,0,0,35000
 Riyadh,   Al-Aqeeq ,Southeast,850,7,5,5,3,1,1,1,1,0,1,1,0,1,1,0,1,0,1,150000
 Riyadh,   Al-Sahafa ,West,375,10,4,5,4,1,1,1,1,1,1,1,0,1,0,0,1,0,0,105000
 Riyadh,   Al-Sahafa ,West,320,7,5,4,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Muayzlah ,West,300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000
 Riyadh,   Al-Raed ,South,375,8,4,5,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,100000
 Riyadh,   Al-Sahafa ,Northeast,250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000
 Riyadh,   Al-Rawabi ,4-streets,3060,0,4,4,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,80000
 Riyadh,   Tuwaiq ,East,264,0,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,1,50000
 Riyadh,   Al-Rahmaniyah ,North,450,12,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,130000
 Riyadh,   Ashbilia ,South,360,6,7,5,2,0,1,1,1,0,1,1,0,1,0,0,1,0,1,80000
 Riyadh,   Al-Ramal ,North,206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000
 Riyadh,   Al-Aqeeq ,West,318,7,4,4,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,85000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Yarmouk ,Southeast,400,8,7,5,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,60000
 Riyadh,   Al-Washam ,East,525,25,3,3,2,1,1,0,1,0,1,0,1,1,0,0,1,0,0,90000
 Riyadh,   Al-Yarmouk ,South,275,10,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,60000
 Riyadh,   Al-Mahdia ,East,227,0,5,5,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55000
 Riyadh,   Al-Yarmouk ,West,313,6,5,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,65000
 Riyadh,   Al-Malqa ,East,488,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,250000
 Riyadh,   Kordoba ,North,360,10,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,75000
 Riyadh,   Al-Sulaymaniyah ,North,300,15,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,90000
 Riyadh,   Al-Ramal ,North,350,0,5,5,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,45000
 Riyadh,   Al-Areed ,North,290,0,5,5,2,1,1,1,1,1,1,0,0,1,0,0,1,1,0,170000
